path	author	sex	birthday	header	created	sphere	genre_fi	type	topic	chronotop	style	audience_age	audience_level	audience_size	source	publication	publisher	publ_year	medium	country	region	language
				Памяти тренера	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/sport/item/412-pamyati-trenera	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Для начинающих  фермеров	06.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/379-dlya-nachinayushchikh-fermerov	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Пришла Коляда – отворяй ворота!	06.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/kultura/item/311-prishla-kolyada-otvoryaj-vorota	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Не пора ли заняться рассадой?	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/411-ne-pora-li-zanyatsya-rassadoj	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				«Она заменила мне маму» (конкурс "Сделай селфи с бабушкой!")	10.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/401-ona-zamenila-mne-mamu-konkurs-sdelaj-selfi-s-babushkoj	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Пенсия в повышенном размере	06.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/381-pensiya-v-povyshennom-razmere	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Берегите своё время	13.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/314-beregite-svojo-vremya?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Незабытая Победа	03.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/370-nezabytaya-pobeda	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Продолжается приём работ на конкурс "Я служу России!"	10.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/400-gorzhus-tem-chto-ya-zhena-ofitsera?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Под знаменем успеха	30.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/352-pod-znamenem-uspekha	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Пойдём в кино!	13.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/kultura/item/319-pojdjom-v-kino	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Митинг памяти	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/421-miting-pamyati#itemImageGalleryAnchor	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Число победителей растёт	13.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obrazovanie/item/406-chislo-pobeditelej-rastjot?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Митинг памяти	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/421-miting-pamyati#sigProId3d3f164a01	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Уважайте знак дорожный!	20.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/330-uvazhajte-znak-dorozhnyj	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Сделай селфи с бабушкой! Победителей ждут призы!	06.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/384-sdelaj-selfi-s-babushkoj	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Белоречане не уступают питерцам	16.01.2015	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/sport/item/320-belorechane-ne-ustupayut-pitertsam#startOfPageId320	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Виват, академия!	10.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/kultura/item/393-vivat-akademiya	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Заново открываем Россию!	27.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/351-zanovo-otkryvaem-rossiyu	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Рустам Хасанов: «Уровень башкирского КВНа вырос»	06.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/kultura/item/385-rustam-khasanov-uroven-bashkirskogo-kvna-vyros	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Победить простуду и грипп	03.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/zdorove/item/367-pobedit-prostudu-i-gripp	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Продолжается приём работ на конкурс "Я служу России!"	10.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/400-gorzhus-tem-chto-ya-zhena-ofitsera#startOfPageId400	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Ежемесячная благотворительность	06.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/390-ezhemesyachnaya-blagotvoritelnost	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Курс – на стабильность	01.10.2015	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/ekonomika/item/252-kurs-na-stabilnost	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Соцзащита	30.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/358-sotszashchita	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Свиной грипп пришёл в Белорецк	27.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/zdorove/item/343-svinoj-gripp-prishjol-v-beloretsk	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Директор года	13.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/kultura/item/232-direktor-goda#startOfPageId232	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Екатерина Тудегешева: «Кто не был на Мраткино, советую!»	13.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/sport/item/402-ekaterina-tudegesheva-kto-ne-byl-na-mratkino-sovetuyu	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Народный мэр	06.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/377-narodnyj-mer	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Как мы прожили год?	16.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/323-kak-my-prozhili-god?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Легенда рождается на наших глазах	13.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/ekonomika/item/409-legenda-rozhdaetsya-na-nashikh-glazakh#sigProIdab01377cb1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Свиной грипп пришёл в Белорецк	27.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/zdorove/item/343-svinoj-gripp-prishjol-v-beloretsk?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				«Она заменила мне маму» (конкурс "Сделай селфи с бабушкой!")	10.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/401-ona-zamenila-mne-mamu-konkurs-sdelaj-selfi-s-babushkoj?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				В Башкирии заявки на участие в праймериз можно подавать с 15 февраля	13.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/politika/item/403-v-bashkirii-zayavki-na-uchastie-v-prajmeriz-mozhno-podavat-s-15-fevralya	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				День студента	30.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/356-den-studenta	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Подготовка к выборам-2016	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/politika/item/417-v-beloretskom-rajone-nachalas-podgotovka-k-provedeniyu-izbiratelnykh-kampanij-2016-goda#startOfPageId417	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Ачери-биатлон	30.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/sport/item/357-sport	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				«Она заменила мне маму» (конкурс "Сделай селфи с бабушкой!")	10.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/401-ona-zamenila-mne-mamu-konkurs-sdelaj-selfi-s-babushkoj#startOfPageId401	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Легенда рождается на наших глазах	13.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/ekonomika/item/409-legenda-rozhdaetsya-na-nashikh-glazakh#itemImageGalleryAnchor	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Берегите своё время	13.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/314-beregite-svojo-vremya	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Новосёлы с Черёмуховой	16.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/321-novosjoly-s-cherjomukhovoj	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				«Горячая линия» для педагогов	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/416-goryachaya-liniya-dlya-pedagogov?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Один из лучших колледжей	27.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obrazovanie/item/345-odin-iz-luchshikh-kolledzhej	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Одна машина на двоих	20.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/329-odna-mashina-na-dvoikh#startOfPageId329	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Лейте бумагу правильно!	20.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/kultura/item/331-lejte-bumagu-pravilno	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Как распознать свиной грипп?	30.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/zdorove/item/361-kak-raspoznat-svinoj-gripp#startOfPageId361	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Боль моя… (рассказ)	30.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/360-bol-moya-rasskaz	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				«Новогодний салют»  белорецких стрелков	16.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/sport/item/327-novogodnij-salyut-beloretskikh-strelkov	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Первоклашкам сократили уроки	13.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/315-pervoklashkam-sokratili-uroki	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Верните в школу военрука!	06.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/380-vernite-v-shkolu-voenruka	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Успейте застраховать имущество!	10.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/392-uspejte-zastrakhovat-imushchestvo	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				О капремонте	23.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/337-o-kapremonte	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Достойная смена	02.09.2015	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/ekonomika/item/249-dostojnaya-smena	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Везучая Аниля	06.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/310-vezuchaya-anilya	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Дед Мороз на лыжах	16.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/sport/item/326-ded-moroz-na-lyzhakh	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Таксистов освободят от необходимости перекрашивать автомобили	13.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/405-taksistov-osvobodyat-ot-neobkhodimosti-perekrashivat-avtomobili	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Правительство РБ освободит пожилых от платы за капремонт	13.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/407-pravitelstvo-rb-osvobodit-pozhilykh-ot-platy-za-kapremont	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Будьте здоровы!	27.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/zdorove/item/347-budte-zdorovy	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Новое право для инвалидов	06.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/382-novoe-pravo-dlya-invalidov	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				«Горячая линия» для педагогов	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/416-goryachaya-liniya-dlya-pedagogov	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Легенда рождается на наших глазах	13.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/ekonomika/item/409-legenda-rozhdaetsya-na-nashikh-glazakh	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Я служу России!	23.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/341-ya-sluzhu-rossii	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Легенда рождается на наших глазах	13.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/ekonomika/item/409-legenda-rozhdaetsya-na-nashikh-glazakh?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Здесь русский дух, здесь Русью пахнет	20.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/333-zdes-russkij-dukh-zdes-rusyu-pakhnet	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Новостройки - 2016	13.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/ekonomika/item/313-menyatsya-vmeste-i-tolko-k-luchshemu	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Белоречане не уступают питерцам	16.01.2015	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/sport/item/320-belorechane-ne-ustupayut-pitertsam	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Как мы прожили год?	16.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/323-kak-my-prozhili-god#startOfPageId323	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Встречали сёла Новый год	06.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/305-vstrechali-sjola-novyj-god?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Победы белоречан	10.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/sport/item/396-pobedy-belorechan	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Волшебный мир кино	30.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/kultura/item/354-volshebnyj-mir-kino	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Секрет – в любви к музыке	16.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/kultura/item/322-sekret-v-lyubvi-k-muzyke	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Встречали сёла Новый год	06.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/305-vstrechali-sjola-novyj-god#startOfPageId305	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Азия встречает своих сыновей	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/420-aziya-vstrechaet-svoikh-synovej?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				О змее, футболе и божьей воле	27.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/348-o-zmee-futbole-i-bozhej-vole#startOfPageId348	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Число победителей растёт	13.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obrazovanie/item/406-chislo-pobeditelej-rastjot#startOfPageId406	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				На Родину вернулась память	13.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/kultura/item/317-na-rodinu-vernulas-pamyat	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Подготовка к выборам-2016	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/politika/item/417-v-beloretskom-rajone-nachalas-podgotovka-k-provedeniyu-izbiratelnykh-kampanij-2016-goda?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				«Горячая линия» для педагогов	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/416-goryachaya-liniya-dlya-pedagogov#startOfPageId416	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Купель – первый шаг к вере	20.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/335-kupel-pervyj-shag-k-vere	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Журналист и бизнесвумен	10.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/398-zhurnalist-i-biznesvumen	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Азия встречает своих сыновей	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/420-aziya-vstrechaet-svoikh-synovej	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Нам помогут надзор и контроль	03.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/365-nam-pomogut-nadzor-i-kontrol	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Три крохи-сыночка и лапочка-дочка	03.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/364-tri-krokhi-synochka-i-lapochka-dochka	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Найдена управа на семейных дебоширов	13.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/316-najdena-uprava-na-semejnykh-deboshirov#startOfPageId316	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Сыгран четвёртый тур	10.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/sport/item/395-sygran-chetvjortyj-tur	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Встречи повзрослевших одноклассников	10.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/397-vstrechi-povzroslevshikh-odnoklassnikov	Белорецкий рабочий			газета	Россия	Белорецкий	ru
